2026-02-23 14:18:24,537 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: online -> offline
2026-02-23 14:18:27,889 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: offline -> online
2026-02-23 14:18:30,707 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: online -> offline
2026-02-23 14:18:37,471 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: offline -> online
2026-02-23 14:18:37,472 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: offline -> online
2026-02-23 14:18:39,103 - CAMERA: 3 | NAME: برند محصول | CHANGE: offline -> online
2026-02-23 14:20:45,563 - CAMERA: 3 | NAME: برند محصول | CHANGE: unknown -> offline
2026-02-23 14:20:45,566 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: unknown -> offline
2026-02-23 14:20:45,567 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: unknown -> offline
2026-02-23 14:20:47,390 - CAMERA: 3 | NAME: برند محصول | CHANGE: offline -> online
2026-02-23 14:20:47,392 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: offline -> online
2026-02-23 14:20:47,394 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: offline -> online
2026-02-23 14:24:40,190 - CAMERA: 3 | NAME: برند محصول | CHANGE: online -> offline
2026-02-23 14:30:07,121 - CAMERA: 3 | NAME: برند محصول | CHANGE: offline -> online
2026-02-23 14:35:31,205 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: unknown -> offline
2026-02-23 14:35:31,219 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: unknown -> offline
2026-02-23 14:35:31,224 - CAMERA: 3 | NAME: برند محصول | CHANGE: unknown -> offline
2026-02-23 14:35:33,347 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: offline -> online
2026-02-23 14:35:33,349 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: offline -> online
2026-02-23 14:35:33,350 - CAMERA: 3 | NAME: برند محصول | CHANGE: offline -> online
2026-02-23 14:38:52,897 - CAMERA: 3 | NAME: برند محصول | CHANGE: unknown -> offline
2026-02-23 14:38:52,907 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: unknown -> offline
2026-02-23 14:38:52,916 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: unknown -> offline
2026-02-23 14:38:55,044 - CAMERA: 3 | NAME: برند محصول | CHANGE: offline -> online
2026-02-23 14:38:55,047 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: offline -> online
2026-02-23 14:38:55,049 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: offline -> online
2026-02-23 14:40:47,427 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: online -> offline
2026-02-23 14:40:47,432 - CAMERA: 3 | NAME: برند محصول | CHANGE: online -> offline
2026-02-23 14:40:47,434 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: online -> offline
2026-02-23 14:40:49,258 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: offline -> online
2026-02-23 14:40:51,388 - CAMERA: 3 | NAME: برند محصول | CHANGE: offline -> online
2026-02-23 14:40:53,199 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: offline -> online
2026-02-23 14:45:45,176 - CAMERA: 3 | NAME: برند محصول | CHANGE: online -> offline
2026-02-23 14:48:11,892 - CAMERA: 3 | NAME: برند محصول | CHANGE: offline -> online
2026-02-23 14:59:18,678 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: unknown -> offline
2026-02-23 14:59:18,686 - CAMERA: 3 | NAME: برند محصول | CHANGE: unknown -> offline
2026-02-23 14:59:18,687 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: unknown -> offline
2026-02-23 14:59:20,832 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: offline -> online
2026-02-23 14:59:20,838 - CAMERA: 3 | NAME: برند محصول | CHANGE: offline -> online
2026-02-23 14:59:20,842 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: offline -> online
2026-02-23 15:00:26,432 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: unknown -> offline
2026-02-23 15:00:26,437 - CAMERA: 3 | NAME: برند محصول | CHANGE: unknown -> offline
2026-02-23 15:00:26,443 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: unknown -> offline
2026-02-23 15:00:28,570 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: offline -> online
2026-02-23 15:00:28,572 - CAMERA: 3 | NAME: برند محصول | CHANGE: offline -> online
2026-02-23 15:00:28,574 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: offline -> online
2026-02-23 15:01:04,197 - CAMERA: 3 | NAME: برند محصول | CHANGE: online -> offline
